Index,Name,Price
GLW,Corning Incorporated,$31.00
GM,General Motors Company,$24.89
GME,GameStop Corp.,$4.01
GNL,Global Net Lease Inc,$16.65
GNTX,Gentex Corporation,$26.99
GNW,Genworth Financial Inc,$2.04
GO,Grocery Outlet Holding Corp,$43.99
GOL,Gol Linhas Aereas Inteligentes SA,$6.83
GOLD,Barrick Gold Corp,$28.91
GOOG,Alphabet Inc Class C,"$1,482.96"
GOOGL,Alphabet Inc Class A,"$1,487.95"
GPK,Graphic Packaging Holding Company,$13.94
GPOR,Gulfport Energy Corporation,$1.01
GPRO,GoPro Inc,$5.29
GPS,Gap Inc,$13.37
GRPN,Groupon Inc Common Stock,$15.35
GRUB,GrubHub Inc,$72.24
GS,Goldman Sachs Group Inc,$197.96
GT,Goodyear Tire & Rubber Co,$9.01
H,Hyatt Hotels Corporation,$48.00
HAL,Halliburton Company,$14.33
HAS,"Hasbro, Inc.",$72.76
HBAN,Huntington Bancshares Incorporated,$9.27
HBI,Hanesbrands Inc.,$14.13
HCA,HCA Healthcare Inc,$126.64
HCM,HUTCHISON CHINA/S ADR,$27.12
HD,Home Depot Inc,$265.49
HDB,HDFC Bank Limited,$46.75
HEI,Heico Corp,$96.12
HES,Hess Corp.,$49.21
HEXO,Hexo Corp,$0.68
HFC,HollyFrontier Corp,$27.50
HGV,Hilton Grand Vacations Inc,$20.30
HIG,Hartford Financial Services Group Inc,$42.32
HIMX,"Himax Technologies, Inc.",$3.88
HL,Hecla Mining Company,$5.52
HLF,Herbalife Nutrition Ltd,$51.24
HLT,Hilton Hotels Corporation Common Stock,$75.05
HMC,Honda Motor Co Ltd,$24.35
HMY,Harmony Gold Mining Co.,$6.45
HOG,Harley-Davidson Inc,$26.03
HOLX,"Hologic, Inc.",$69.78
HOME,At Home Group Inc,$12.42
HON,Honeywell International Inc.,$149.37
HPE,Hewlett Packard Enterprise Co,$9.87
HPQ,HP Inc,$17.58
HRB,H & R Block Inc,$14.50
HRL,Hormel Foods Corp,$50.86
HSIC,"Henry Schein, Inc.",$68.73
HST,Host Hotels and Resorts Inc,$10.78
HTHT,Huazhu Group Ltd,$34.33
HTZ,Hertz Global Holdings Inc,$1.45
HUBS,HubSpot Inc,$234.61
HUM,Humana Inc,$392.45
HUN,Huntsman Corporation,$18.50
HUYA,HUYA Inc - ADR,$24.32
IAG,Iamgold Corp,$4.98
IBKR,"Interactive Brokers Group, Inc.",$49.60
IBM,IBM Common Stock,$122.94
IBN,ICICI Bank Ltd,$9.39
ICE,Intercontinental Exchange Inc,$96.78
IDXX,"IDEXX Laboratories, Inc.",$397.75
IGMS,IGM Biosciences Inc,$50.26
IGT,International Game Technology PLC,$9.86
ILMN,"Illumina, Inc.",$382.16
IMGN,"ImmunoGen, Inc.",$4.11
INCY,Incyte Corporation,$98.76
INFN,Infinera Corp.,$7.89
INFY,Infosys Ltd ADR,$12.85
INTC,Intel Corporation,$47.73
INTU,Intuit Inc.,$306.37
INVH,Invitation Homes Inc,$29.82
IP,International Paper Co,$34.79
IPG,Interpublic Group of Companies Inc,$18.05
IQ,IQIYI Inc,$21.10
IRBT,iRobot Corporation,$72.69
IRM,Iron Mountain Inc,$28.19
ISBC,Investors Bancorp Inc,$8.12
ISRG,"Intuitive Surgical, Inc.",$685.44
IT,Gartner Inc,$124.64
ITUB,Itau Unibanco Holding SA ADR,$5.10
ITW,Illinois Tool Works Inc.,$184.99
IVR,Invesco Mortgage Capital Inc,$3.07
IVZ,Invesco Ltd.,$10.04
JBHT,J B Hunt Transport Services Inc,$129.40
JBLU,JetBlue Airways Corporation,$10.34
JCP,J C Penney Company Inc,$4.70
JD,JD.Com Inc,$63.79
JEF,Jefferies Financial Group Inc,$16.20
JKHY,"Jack Henry & Associates, Inc.",$178.30
JKS,"JinkoSolar Holding Co., Ltd",$19.15
JMIA,Jumia Technologies AG - ADR,$15.56
JNJ,Johnson & Johnson,$145.76
JNPR,"Juniper Networks, Inc.",$25.38
JPM,JPMorgan Chase & Co.,$96.64
JWN,"Nordstrom, Inc.",$13.69
K,Kellogg Company,$68.99
KAR,KAR Auction Services Inc,$15.13
KDP,Keurig Dr Pepper Inc,$30.59
KEY,KeyCorp,$12.01
KEYS,Keysight Technologies Inc,$99.89
KGC,Kinross Gold Corporation,$9.37
KHC,Kraft Heinz Co,$34.38
KIM,Kimco Realty Corp,$11.15
KKR,KKR & Co Inc,$35.37
KMB,Kimberly Clark Corp,$152.04
KMI,Kinder Morgan Inc,$14.10
KNX,Knight-Swift Transportation Holdings Inc,$43.49
